I0227 21:34:48.791453       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 22:06:00.198839       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.198859       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.198876       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.198892       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.198907       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.198937       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 22:06:00.198982       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.198997       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.199011       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.199027       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.199045       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.199059       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:00.199086       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 22:06:00.199113       1 scale_up.go:441] No expansion options
I0227 22:06:00.199205       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 22:06:00.199240       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 22:06:00.199262       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 22:06:00.199275       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 22:06:00.199286       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 22:06:00.199300       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 22:06:00.199312       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 22:06:00.199341       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 22:06:00.199382       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 22:06:00.199434       1 static_autoscaler.go:516] Starting scale down
I0227 22:06:00.199484       1 scale_down.go:868] No candidates for scale down
I0227 22:06:10.218276       1 static_autoscaler.go:229] Starting main loop
I0227 22:06:10.218986       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 22:06:10.219011       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 22:06:10.219971       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 22:06:10.219990       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 22:06:10.220003       1 filter_out_schedulable.go:82] No schedulable pods
I0227 22:06:10.220021       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 22:06:10.220030       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 22:06:10.220035       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 22:06:10.220042       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 22:06:10.220048       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 22:06:10.220054       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 22:06:10.220138       1 scale_up.go:364] Upcoming 0 nodes
I0227 22:06:10.221176       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221209       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221227       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221262       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221276       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221294       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221325       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 22:06:10.221368       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221383       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221397       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221412       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221427       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221444       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:10.221472       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 22:06:10.221497       1 scale_up.go:441] No expansion options
I0227 22:06:10.221589       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 22:06:10.223447       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 22:06:10.223485       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 22:06:10.223501       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 22:06:10.223515       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 22:06:10.223528       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 22:06:10.223540       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 22:06:10.223564       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 22:06:10.223608       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 22:06:10.223639       1 static_autoscaler.go:516] Starting scale down
I0227 22:06:10.223689       1 scale_down.go:868] No candidates for scale down
I0227 22:06:20.244293       1 static_autoscaler.go:229] Starting main loop
I0227 22:06:20.245153       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 22:06:20.245180       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 22:06:20.246532       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 22:06:20.246548       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 22:06:20.246577       1 filter_out_schedulable.go:82] No schedulable pods
I0227 22:06:20.246593       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 22:06:20.246599       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 22:06:20.246604       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 22:06:20.246609       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 22:06:20.246615       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 22:06:20.246621       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 22:06:20.247273       1 scale_up.go:364] Upcoming 0 nodes
I0227 22:06:20.248986       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.249012       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.249028       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.249042       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.249059       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.249072       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.249961       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 22:06:20.250719       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.250745       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.250765       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.250781       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.250799       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.250813       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:20.251332       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 22:06:20.251368       1 scale_up.go:441] No expansion options
I0227 22:06:20.251705       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 22:06:20.252562       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 22:06:20.252602       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 22:06:20.252614       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 22:06:20.252627       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 22:06:20.252643       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 22:06:20.252655       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 22:06:20.253063       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 22:06:20.253115       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 22:06:20.253478       1 static_autoscaler.go:516] Starting scale down
I0227 22:06:20.253578       1 scale_down.go:868] No candidates for scale down
I0227 22:06:30.299209       1 static_autoscaler.go:229] Starting main loop
I0227 22:06:30.299888       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 22:06:30.299909       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 22:06:30.300831       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 22:06:30.300845       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 22:06:30.300856       1 filter_out_schedulable.go:82] No schedulable pods
I0227 22:06:30.300871       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 22:06:30.300881       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 22:06:30.300887       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 22:06:30.300893       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 22:06:30.300898       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 22:06:30.300984       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 22:06:30.301053       1 scale_up.go:364] Upcoming 0 nodes
I0227 22:06:30.301788       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301811       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301830       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301846       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301868       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301886       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301917       1 scale_up.go:437] No pod can fit to eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0
I0227 22:06:30.301954       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301971       1 scale_up.go:288] Pod fluent-bit-lxg57 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301984       1 scale_up.go:288] Pod fluent-bit-zl8ch can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.301999       1 scale_up.go:288] Pod fluent-bit-cdcg5 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.302016       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.302032       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:30.302061       1 scale_up.go:437] No pod can fit to eks-priv-b-spot-dac287cb-f89e-74f5-5a42-5530c28da6f3
I0227 22:06:30.302083       1 scale_up.go:441] No expansion options
I0227 22:06:30.302164       1 static_autoscaler.go:449] Calculating unneeded nodes
I0227 22:06:30.302696       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-85.ap-northeast-2.compute.internal - no node group config
I0227 22:06:30.302717       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-168.ap-northeast-2.compute.internal - no node group config
I0227 22:06:30.302827       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-133.ap-northeast-2.compute.internal - no node group config
I0227 22:06:30.302845       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-200.ap-northeast-2.compute.internal - no node group config
I0227 22:06:30.302859       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-202-174.ap-northeast-2.compute.internal - no node group config
I0227 22:06:30.302873       1 pre_filtering_processor.go:57] Skipping fargate-ip-172-31-203-39.ap-northeast-2.compute.internal - no node group config
I0227 22:06:30.302899       1 scale_down.go:423] Node ip-172-31-37-93.ap-northeast-2.compute.internal is not suitable for removal - cpu utilization too big (0.634715)
I0227 22:06:30.302941       1 static_autoscaler.go:503] Scale down status: unneededOnly=false lastScaleUpTime=2023-02-22 01:06:24.16122509 +0000 UTC m=+366486.053689406 lastScaleDownDeleteTime=2023-02-24 14:24:51.583444364 +0000 UTC m=+587193.475908686 lastScaleDownFailTime=2023-02-17 19:18:48.020441185 +0000 UTC m=+29.912905494 scaleDownForbidden=false isDeleteInProgress=false scaleDownInCooldown=false
I0227 22:06:30.302976       1 static_autoscaler.go:516] Starting scale down
I0227 22:06:30.303025       1 scale_down.go:868] No candidates for scale down
I0227 22:06:40.322409       1 static_autoscaler.go:229] Starting main loop
I0227 22:06:40.323137       1 filter_out_schedulable.go:65] Filtering out schedulables
I0227 22:06:40.323165       1 filter_out_schedulable.go:132] Filtered out 0 pods using hints
I0227 22:06:40.324291       1 filter_out_schedulable.go:170] 0 pods were kept as unschedulable based on caching
I0227 22:06:40.324441       1 filter_out_schedulable.go:171] 0 pods marked as unschedulable can be scheduled.
I0227 22:06:40.324531       1 filter_out_schedulable.go:82] No schedulable pods
I0227 22:06:40.324549       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-8zvx8 is unschedulable
I0227 22:06:40.324556       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-f7pns is unschedulable
I0227 22:06:40.324562       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-c4s2m is unschedulable
I0227 22:06:40.324568       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-lxg57 is unschedulable
I0227 22:06:40.324574       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-zl8ch is unschedulable
I0227 22:06:40.324581       1 klogx.go:86] Pod amazon-cloudwatch/fluent-bit-cdcg5 is unschedulable
I0227 22:06:40.324665       1 scale_up.go:364] Upcoming 0 nodes
I0227 22:06:40.326020       1 scale_up.go:288] Pod fluent-bit-8zvx8 can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:40.326045       1 scale_up.go:288] Pod fluent-bit-f7pns can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
I0227 22:06:40.326063       1 scale_up.go:288] Pod fluent-bit-c4s2m can't be scheduled on eks-priv-a-spot-80c287cb-988a-df29-3b7a-547b9167f1c0, predicate checking error: node(s) didn't match Pod's node affinity; predicateName=NodeAffinity; reasons: node(s) didn't match Pod's node affinity; debugInfo=
